BP_APPL_SEQ,LOAN_TYPE_NAME,source_appl_seq,X135,X145,X139,X134,X136,X140,X143,X152,X141,X155,X153,X029,X114,X137,X150,X138,X142,X131,X132,X133,X016,X017,X172,X171,X170,X169,X016,X017
D072203020049690666,???????,2.02203E+17,0,-999999,-999999,0,-999999,0,-999999,8,0,42,62,-999999,-999999,0.4,-999999,1,0,1,0,0,-999999,-999999,0,0,0,15,-999999,-999999
D072203020049690800,???????,2.02203E+17,0,-999999,0,0,405,0,-999999,8,0,26,103,5000,-999999,0.7143,784,0.8571,0,1,1,0,-999999,-999999,0,1,5,31,-999999,-999999
D072203020049690896,???????,2.02203E+17,0,-999999,1,1,199,2,25,21,1,183,159,-999999,18800,0.5556,112,0.4444,0,1,1,0,-999999,-999999,0,1,4,45,-999999,-999999
D072203020049690896,???????,2.02203E+17,0,-999999,1,1,199,2,25,21,1,183,159,-999999,18800,0.5556,112,0.4444,0,1,1,0,-999999,-999999,0,1,4,45,-999999,-999999
D072203020049690999,???????,2.02203E+17,0,-999999,1,0,602,0,-999999,31,0,104,35,6000,6000,0.5,-999999,0.9375,0,1,1,0,-999999,-999999,0,0,3,54,-999999,-999999
D072203020049690999,???????,2.02203E+17,0,-999999,1,0,602,0,-999999,31,0,104,35,6000,6000,0.5,-999999,0.9375,0,1,1,0,-999999,-999999,0,0,3,54,-999999,-999999
D072203020049691124,???????,2.02203E+17,2,-999999,-999999,0,260,0,46,30,1,17,70,-999999,0,0.9,-999999,0.9,0,1,1,0,-999999,-999999,0,0,3,34,-999999,-999999
D072203020049691124,???????,2.02203E+17,2,-999999,-999999,0,260,0,46,30,1,17,70,-999999,0,0.9,-999999,0.9,0,1,1,0,-999999,-999999,0,0,3,34,-999999,-999999
D072203020049700465,???????,2.02203E+17,0,-999999,-999999,0,675,0,-999999,25,0,25,16,-999999,-999999,0.9412,-999999,0.9412,0,1,0,0,-999999,-999999,0,0,1,42,-999999,-999999
D072203020049700465,???????,2.02203E+17,0,-999999,-999999,0,675,0,-999999,25,0,25,16,-999999,-999999,0.9412,-999999,0.9412,0,1,0,0,-999999,-999999,0,0,1,42,-999999,-999999
D072203020049700644,???????,2.02203E+17,1,-999999,-999999,1,348,0,43,29,1,71,127,-999999,0,0.6875,-999999,0.9375,0,1,1,0,-999999,-999999,0,0,1,61,-999999,-999999
D072203020049700644,???????,2.02203E+17,1,-999999,-999999,1,348,0,43,29,1,71,127,-999999,0,0.6875,-999999,0.9375,0,1,1,0,-999999,-999999,0,0,1,61,-999999,-999999
D072203020049700749,???????,2.02203E+17,1,-999999,-999999,0,54,0,-999999,11,0,43,35,-999999,-999999,0.5714,-999999,1,0,1,0,0,-999999,-999999,0,0,4,15,-999999,-999999
D072203020049700749,???????,2.02203E+17,1,-999999,-999999,0,54,0,-999999,11,0,43,35,-999999,-999999,0.5714,-999999,1,0,1,0,0,-999999,-999999,0,0,4,15,-999999,-999999
D072203020049700819,???????,2.02203E+17,3,-999999,1,0,90,2,38,46,1,93,72,6000,36000,0.5882,-999999,0.8235,0,1,1,0,-999999,-999999,0,0,4,66,-999999,-999999
D072203020049700819,???????,2.02203E+17,3,-999999,1,0,90,2,38,46,1,93,72,6000,36000,0.5882,-999999,0.8235,0,1,1,0,-999999,-999999,0,0,4,66,-999999,-999999
D072203020049700832,???????,2.02203E+17,0,-999999,-999999,0,37,0,-999999,24,0,34,37,-999999,-999999,1,-999999,1,0,1,0,0,-999999,-999999,0,0,2,28,-999999,-999999
D072203020049700832,???????,2.02203E+17,0,-999999,-999999,0,37,0,-999999,24,0,34,37,-999999,-999999,1,-999999,1,0,1,0,0,-999999,-999999,0,0,2,28,-999999,-999999
D072203020049701116,???????,2.02203E+17,0,-999999,-999999,0,363,0,-999999,30,0,40,19,-999999,-999999,0.8621,-999999,1,0,1,0,0,-999999,-999999,0,0,1,51,-999999,-999999
D072203020049701116,???????,2.02203E+17,0,-999999,-999999,0,363,0,-999999,30,0,40,19,-999999,-999999,0.8621,-999999,1,0,1,0,0,-999999,-999999,0,0,1,51,-999999,-999999
D072203020049710003,???????,2.02203E+17,0,-999999,1,0,65,1,-999999,6,0,9,50,6000,27000,0,-999999,1,0,1,1,0,-999999,-999999,0,0,1,6,-999999,-999999
D072203020049710003,???????,2.02203E+17,0,-999999,1,0,65,1,-999999,6,0,9,50,6000,27000,0,-999999,1,0,1,1,0,-999999,-999999,0,0,1,6,-999999,-999999
D072203020049710016,???????,2.02203E+17,2,-999999,0,0,25,0,-999999,22,0,22,78,-999999,-999999,0.6471,-999999,0.9412,0,1,1,0,-999999,-999999,0,0,4,23,-999999,-999999
D072203020049710016,???????,2.02203E+17,2,-999999,0,0,25,0,-999999,22,0,22,78,-999999,-999999,0.6471,-999999,0.9412,0,1,1,0,-999999,-999999,0,0,4,23,-999999,-999999
D072203020049720023,???????,2.02203E+17,1,-999999,-999999,0,47,0,-999999,19,0,52,64,-999999,-999999,0.5333,-999999,0.9333,0,1,0,0,-999999,-999999,0,0,2,24,-999999,-999999
D072203020049720023,???????,2.02203E+17,1,-999999,-999999,0,47,0,-999999,19,0,52,64,-999999,-999999,0.5333,-999999,0.9333,0,1,0,0,-999999,-999999,0,0,2,24,-999999,-999999
