"BP_APPL_SEQ","LOAN_TYPE_NAME","source_appl_seq","X135","X145","X139","X134","X136","X140","X143","X152","X141","X155","X153","X029","X114","X137","X150","X138","X142","X131","X132","X133","X016","X017","X172","X171","X170","X169","X016","X017"
"D072203020049680859","萨摩耶有限担保","202203020441126761","0","-999999","-999999.000000","0","460","0","-999999","26","0","49","34","-999999.00","-999999.00","0.777800","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","1","36","-999999","-999999"
"D072203020049680979","萨摩耶无限担保","202203020441129429","0","-999999","0.000000","0","439","0","-999999","17","0","11","157","3000.00","3000.00","0.125000","348.0000","1.000000","0","1","1","0","-999999","-999999","0","1","1","21","-999999","-999999"
"D072203020049680979","萨摩耶有限担保","202203020441129429","0","-999999","0.000000","0","439","0","-999999","17","0","11","157","3000.00","3000.00","0.125000","348.0000","1.000000","0","1","1","0","-999999","-999999","0","1","1","21","-999999","-999999"
"D072203020049690320","萨摩耶无限担保","202203020439736710","0","-999999","1.000000","0","167","0","-999999","32","0","30","50","3000.00","3206.00","0.904800","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","5","40","-999999","-999999"
"D072203020049690320","萨摩耶有限担保","202203020439736710","0","-999999","1.000000","0","167","0","-999999","32","0","30","50","3000.00","3206.00","0.904800","-999999.0000","1.000000","0","1","1","0","-999999","-999999","0","0","5","40","-999999","-999999"
"D072203020049690321","萨摩耶无限担保","202203020439736716","3","-999999","1.000000","0","1","1","30","37","1","19","63","13000.00","13000.00","0.000000","-999999.0000","0.500000","0","1","1","0","-999999","-999999","0","0","14","49","-999999","-999999"
"D072203020049690321","萨摩耶有限担保","202203020439736716","3","-999999","1.000000","0","1","1","30","37","1","19","63","13000.00","13000.00","0.000000","-999999.0000","0.500000","0","1","1","0","-999999","-999999","0","0","14","49","-999999","-999999"
"D072203020049690382","萨摩耶无限担保","202203020440571073","2","-999999","0.677400","0","61","1","-999999","37","0","13","99","5000.00","7600.00","0.500000","-999999.0000","0.700000","0","1","1","0","-999999","-999999","0","0","14","64","-999999","-999999"
"D072203020049690382","萨摩耶有限担保","202203020440571073","2","-999999","0.677400","0","61","1","-999999","37","0","13","99","5000.00","7600.00","0.500000","-999999.0000","0.700000","0","1","1","0","-999999","-999999","0","0","14","64","-999999","-999999"
"D072203020049690603","萨摩耶无限担保","202203020441119640","1","-999999","-999999.000000","0","140","0","44","31","0","9","91","-999999.00","-999999.00","0.750000","-999999.0000","0.500000","0","1","1","0","-999999","-999999","0","0","3","36","-999999","-999999"
"D072203020049690603","萨摩耶有限担保","202203020441119640","1","-999999","-999999.000000","0","140","0","44","31","0","9","91","-999999.00","-999999.00","0.750000","-999999.0000","0.500000","0","1","1","0","-999999","-999999","0","0","3","36","-999999","-999999"
"D072203020049690627","萨摩耶无限担保","202203020441120284","0","-999999","1.000000","0","-999999","0","-999999","17","0","63","59","-999999.00","5000.00","0.818200","-999999.0000","0.863600","0","1","1","0","-999999","-999999","0","0","0","28","-999999","-999999"
"D072203020049690627","萨摩耶有限担保","202203020441120284","0","-999999","1.000000","0","-999999","0","-999999","17","0","63","59","-999999.00","5000.00","0.818200","-999999.0000","0.863600","0","1","1","0","-999999","-999999","0","0","0","28","-999999","-999999"
"D072203020049690666","萨摩耶无限担保","202203020441121046","0","-999999","-999999.000000","0","-999999","0","-999999","8","0","42","62","-999999.00","-999999.00","0.400000","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","0","15","-999999","-999999"
